#SUM149-C17 24 h talazoparib treatment,,
filename,cell,n_nuclear_blobs
C2-Image1,1,2
C2-Image1,2,0
C2-Image1,3,1
C2-Image1,4,0
C2-Image1,5,2
C2-Image1,6,0
C2-Image1,7,1
C2-Image1,8,4
C2-Image1,9,0
C2-Image1,10,1
C2-Image1,11,4
C2-Image1,12,1
C2-Image1,13,0
C2-Image1,14,0
C2-Image1,15,3
C2-Image1,16,2
C2-Image1,17,0
C2-Image1,18,0
C2-Image1,19,0
C2-Image1,20,44
C2-Image1,21,1
C2-Image1,22,0
C2-Image1,23,23
C2-Image1,24,5
C2-Image1,25,7
C2-Image1,26,0
C2-Image1,27,1
C2-Image1,28,11
C2-Image1,29,0
C2-Image1,30,7
C2-Image1,31,8
C2-Image1,32,8
C2-Image1,33,0
C2-Image1,34,0
C2-Image1,35,0
C2-Image2,1,31
C2-Image2,2,26
C2-Image2,3,31
C2-Image2,4,31
C2-Image2,5,22
C2-Image2,6,6
C2-Image2,7,34
C2-Image2,8,26
C2-Image2,9,4
C2-Image2,10,1
C2-Image2,11,27
C2-Image2,12,15
C2-Image2,13,28
C2-Image2,14,3
C2-Image3,1,22
C2-Image3,2,20
C2-Image3,3,13
C2-Image3,4,2
C2-Image3,5,14
C2-Image3,6,1
C2-Image3,7,30
C2-Image3,8,16
C2-Image3,9,33
C2-Image3,10,10
C2-Image3,11,32
C2-Image3,12,16
C2-Image3,13,2
C2-Image3,14,2
C2-Image3,15,2
C2-Image4,1,0
C2-Image4,2,7
C2-Image4,3,12
C2-Image4,4,1
C2-Image4,5,21
C2-Image4,6,19
C2-Image4,7,20
C2-Image4,8,1
C2-Image4,9,19
C2-Image4,10,13
C2-Image5,1,3
C2-Image5,2,32
C2-Image5,3,25
C2-Image5,4,18
C2-Image5,5,5
C2-Image5,6,24
C2-Image5,7,6
C2-Image5,8,1
C2-Image5,9,1
C2-Image5,10,25
C2-Image5,11,1
C2-Image5,12,4
C2-Image5,13,16
C2-Image13,1,1
C2-Image13,2,0
C2-Image13,3,0
C2-Image13,4,4
C2-Image13,5,23
C2-Image13,6,17
C2-Image13,7,10
C2-Image13,8,2
C2-Image13,9,7
C2-Image13,10,5
C2-Image13,11,22
C2-Image13,12,1
C2-Image13,13,26
C2-Image13,14,19
C2-Image13,15,18
C2-Image13,16,24
C2-Image13,17,17
C2-Image13,18,11
C2-Image13,19,2
C2-Image13,20,2
C2-Image13,21,19
C2-Image13,22,0
C2-Image13,23,0
C2-Image13,24,1
C2-Image14,1,5
C2-Image14,2,3
C2-Image14,3,0
C2-Image14,4,1
C2-Image14,5,6
C2-Image14,6,1
C2-Image14,7,10
C2-Image14,8,10
C2-Image14,9,21
C2-Image14,10,18
C2-Image14,11,2
C2-Image14,12,7
C2-Image14,13,4
C2-Image14,14,5
C2-Image14,15,4
C2-Image14,16,2
C2-Image14,17,12
C2-Image14,18,24
C2-Image15,1,7
C2-Image15,2,1
C2-Image15,3,2
C2-Image15,4,4
C2-Image15,5,4
C2-Image15,6,7
C2-Image15,7,0
C2-Image15,8,0
C2-Image15,9,21
C2-Image15,10,3
C2-Image15,11,16
C2-Image15,12,13
C2-Image15,13,37
C2-Image15,14,16
C2-Image15,15,11
C2-Image15,16,22
C2-Image15,17,35
C2-Image15,18,5
C2-Image15,19,5
C2-Image16,1,18
C2-Image16,2,20
C2-Image16,3,3
C2-Image16,4,12
C2-Image16,5,2
C2-Image16,6,1
C2-Image16,7,0
C2-Image16,8,10
C2-Image16,9,28
C2-Image16,10,4
C2-Image16,11,2
C2-Image16,12,9
C2-Image16,13,17
C2-Image16,14,31
C2-Image16,15,24
C2-Image16,16,11
C2-Image16,17,4
