#SUM149-C2 24 h talazoparib treatment,,
filename,cell,n_nuclear_blobs
C3-Image11,1,1
C3-Image11,2,72
C3-Image11,3,3
C3-Image11,4,57
C3-Image11,5,39
C3-Image11,6,2
C3-Image11,7,4
C3-Image11,8,56
C3-Image11,9,45
C3-Image11,10,68
C3-Image11,11,1
C3-Image11,12,0
C3-Image11,13,48
C3-Image11,14,1
C3-Image11,15,22
C3-Image11,16,52
C3-Image11,17,1
C3-Image11,18,23
C3-Image11,19,15
C3-Image11,20,7
C3-Image11,21,1
C3-Image12,1,18
C3-Image12,2,8
C3-Image12,3,34
C3-Image12,4,40
C3-Image12,5,1
C3-Image12,6,44
C3-Image13,0,0
C3-Image13,1,0
C3-Image13,2,51
C3-Image13,3,21
C3-Image13,4,9
C3-Image13,5,54
C3-Image13,6,3
C3-Image13,7,1
C3-Image13,8,37
C3-Image13,9,31
C3-Image13,10,70
C3-Image13,11,68
C3-Image13,12,52
C3-Image13,13,4
C3-Image13,14,15
C3-Image13,15,3
C3-Image13,16,5
C3-Image13,17,4
C3-Image13,18,31
C3-Image13,19,4
C3-Image13,20,6
C3-Image13,21,9
C3-Image13,22,2
C3-Image13,23,4
C3-Image13,24,6
C3-Image13,25,6
C3-Image14,1,19
C3-Image14,2,1
C3-Image14,3,3
C3-Image14,4,3
C3-Image14,5,0
C3-Image14,6,1
C3-Image14,7,68
C3-Image14,8,8
C3-Image14,9,4
C3-Image14,10,17
C3-Image14,11,0
C3-Image14,12,38
C3-Image14,13,6
C3-Image14,14,1
C3-Image14,15,1
C3-Image14,16,3
C3-Image14,17,50
C3-Image14,18,1
C3-Image14,19,39
C3-Image14,20,30
C3-Image14,21,57
C3-Image14,22,62
C3-Image14,23,64
C3-Image14,24,22
C3-Image14,25,0
C3-Image14,26,0
C3-Image14,27,40
C3-Image14,28,1
C3-Image14,29,3
C3-Image14,30,31
C3-Image14,31,0
C3-Image14,32,63
C3-Image14,33,1
C3-Image14,34,33
C3-Image14,35,41
C3-Image14,36,1
C3-Image14,37,1
C3-Image14,38,1
C3-Image14,39,1
C3-Image14,40,0
C3-Image14,41,0
C3-Image14,42,31
C3-Image14,43,23
C3-Image14,44,36
C3-Image14,45,31
C3-Image14,46,0
C3-Image14,47,0
C3-Image15,1,7
C3-Image15,2,1
C3-Image15,3,1
C3-Image15,4,24
C3-Image15,5,90
C3-Image15,6,0
C3-Image15,7,1
C3-Image15,8,3
C3-Image15,9,1
C3-Image15,10,38
C3-Image15,11,40
C3-Image15,12,7
C3-Image15,13,58
C3-Image15,14,3
C3-Image15,15,25
C3-Image15,16,5
C3-Image15,17,33
C3-Image15,18,6
C3-Image15,19,58
C3-Image15,20,1
C3-Image15,21,0
C3-Image15,22,16
C3-Image15,23,1
C3-Image15,24,0
C3-Image15,25,0
C3-Image1,1,57
C3-Image1,2,2
C3-Image1,3,12
C3-Image1,4,22
C3-Image1,5,50
C3-Image1,6,14
C3-Image1,7,35
C3-Image1,8,49
C3-Image1,9,23
C3-Image1,10,18
C3-Image2,1,2
C3-Image2,2,3
C3-Image2,3,1
C3-Image2,4,54
C3-Image2,5,2
C3-Image2,6,3
C3-Image2,7,46
C3-Image2,8,39
C3-Image2,9,9
C3-Image2,10,69
C3-Image2,11,54
C3-Image2,12,4
C3-Image2,13,18
C3-Image2,14,55
C3-Image2,15,8
C3-Image2,16,76
C3-Image2,17,9
C3-Image2,18,78
C3-Image2,19,45
C3-Image2,20,22
C3-Image2,21,11
C3-Image2,22,36
C3-Image3,1,38
C3-Image3,2,43
C3-Image3,3,77
C3-Image3,4,14
C3-Image3,5,14
C3-Image3,6,36
C3-Image3,7,23
C3-Image3,8,15
C3-Image3,9,7
C3-Image3,10,4
C3-Image3,11,7
C3-Image3,12,12
C3-Image3,13,91
C3-Image3,14,1
C3-Image3,15,4
C3-Image3,16,7
C3-Image3,17,0
C3-Image3,18,19
C3-Image3,19,62
C3-Image3,20,18
C3-Image3,21,15
C3-Image3,22,12
C3-Image3,23,28
C3-Image3,24,43
C3-Image3,25,40
C3-Image3,26,17
C3-Image3,27,59
C3-Image3,28,0
C3-Image3,29,5
C3-Image3,30,19
C3-Image3,31,8
C3-Image3,32,10
C3-Image3,33,36
C3-Image3,34,50
C3-Image3,35,6
C3-Image4,1,70
C3-Image4,2,52
C3-Image4,3,51
C3-Image4,4,13
C3-Image4,5,80
C3-Image4,6,18
C3-Image4,7,43
C3-Image4,8,53
C3-Image4,9,4
C3-Image4,10,22
C3-Image4,11,27
C3-Image4,12,40
C3-Image4,13,26
C3-Image4,14,7
C3-Image4,15,41
C3-Image4,16,32
C3-Image4,17,29
C3-Image4,18,25
C3-Image4,19,11
C3-Image4,20,18
C3-Image4,21,8
C3-Image4,22,85
C3-Image4,23,106
C3-Image4,24,18
C3-Image4,25,3
C3-Image4,26,13
C3-Image4,27,0
C3-Image4,28,9
