#SUM149-C29 24 h talazoparib treatment,,
filename,cell,n_nuclear_blobs
C3-Image31,1,8
C3-Image31,2,23
C3-Image31,3,65
C3-Image31,4,59
C3-Image31,5,51
C3-Image31,6,55
C3-Image31,7,68
C3-Image31,8,8
C3-Image31,9,258
C3-Image31,10,8
C3-Image31,11,15
C3-Image37,1,40
C3-Image37,2,56
C3-Image37,3,38
C3-Image37,4,14
C3-Image37,5,12
C3-Image37,6,53
C3-Image37,7,34
C3-Image37,8,1
C3-Image37,9,51
C3-Image37,10,11
C3-Image37,11,5
C3-Image37,12,112
C3-Image37,13,64
C3-Image37,14,65
C3-Image38,1,67
C3-Image38,2,3
C3-Image38,3,65
C3-Image38,4,39
C3-Image38,5,76
C3-Image38,6,53
C3-Image38,7,64
C3-Image38,8,52
C3-Image38,9,33
C3-Image38,10,25
C3-Image39,1,7
C3-Image39,2,16
C3-Image39,3,25
C3-Image39,4,14
C3-Image39,5,38
C3-Image39,6,36
C3-Image40,1,16
C3-Image40,2,11
C3-Image40,3,15
C3-Image40,4,26
C3-Image40,5,70
C3-Image40,6,12
C3-Image40,7,23
C3-Image40,8,36
C3-Image40,9,77
C3-Image41,1,0
C3-Image41,2,3
C3-Image41,3,1
C3-Image41,4,2
C3-Image41,5,4
C3-Image41,6,89
C3-Image13,1,2
C3-Image13,2,7
C3-Image13,3,13
C3-Image13,4,6
C3-Image13,5,6
C3-Image13,6,63
C3-Image13,7,75
C3-Image13,8,1
C3-Image13,9,8
C3-Image13,10,48
C3-Image13,11,7
C3-Image13,12,22
C3-Image13,13,25
C3-Image13,14,4
C3-Image13,15,1
C3-Image13,16,48
C3-Image13,17,7
C3-Image13,18,4
C3-Image13,19,2
C3-Image13,20,62
C3-Image13,21,29
C3-Image13,22,53
C3-Image13,23,8
C3-Image14,1,2
C3-Image14,2,20
C3-Image14,3,7
C3-Image14,4,18
C3-Image14,5,40
C3-Image14,6,9
C3-Image14,7,54
C3-Image14,8,21
C3-Image14,9,66
C3-Image14,10,2
C3-Image14,11,36
C3-Image14,12,38
C3-Image14,13,45
C3-Image14,14,3
C3-Image14,15,2
C3-Image14,16,2
C3-Image14,17,5
C3-Image14,18,2
C3-Image14,19,24
C3-Image15,1,5
C3-Image15,2,12
C3-Image15,3,4
C3-Image15,4,15
C3-Image15,5,72
C3-Image15,6,4
C3-Image15,7,7
C3-Image15,8,10
C3-Image15,9,70
C3-Image15,10,8
C3-Image15,11,8
C3-Image15,12,8
C3-Image15,13,7
C3-Image15,14,48
C3-Image15,15,24
C3-Image15,16,4
C3-Image15,17,4
C3-Image16,1,38
C3-Image16,2,0
C3-Image16,3,12
C3-Image16,4,3
C3-Image16,5,48
C3-Image16,6,62
C3-Image16,7,9
C3-Image16,8,63
C3-Image16,9,6
C3-Image16,10,3
C3-Image16,11,68
C3-Image16,12,60
C3-Image16,13,0
C3-Image16,14,1
